id,name,category,subcategory,use_case,prerequisites,output_type,when_to_use,avoid_when,python_function,domain
desc_univar,Univariate Descriptive,descriptive,summary,"Summarize single variable distribution","Numeric or categorical variable","Table + Histogram/Bar","Starting exploratory analysis","Variable has no variation","df.describe() / value_counts()","general"
desc_bivar,Bivariate Descriptive,descriptive,relationship,"Explore relationship between 2 variables","2 variables of any type","Cross-tab / Scatter","Looking for patterns between variables","Variables are unrelated conceptually","pd.crosstab() / sns.scatterplot()","general"
desc_multivar,Multivariate Summary,descriptive,summary,"Comprehensive dataset overview","Multiple variables","Summary table + Correlation matrix","Initial data exploration","Single variable analysis needed","df.describe(include='all')","general"
freq_table,Frequency Table,descriptive,categorical,"Count occurrences of categories","Categorical variable","Table with counts and percentages","Analyzing categorical distributions","Continuous numeric data","value_counts(normalize=True)","survey"
cross_tab,Cross Tabulation,descriptive,categorical,"Compare categories across groups","2+ categorical variables","Contingency table","Comparing distributions across segments","Continuous outcome variable","pd.crosstab()","survey"
percentile,Percentile Analysis,descriptive,distribution,"Identify value positions","Numeric variable","Percentile table","Understanding data spread","Non-numeric data","np.percentile()","general"
ttest_ind,Independent T-Test,inferential,comparison,"Compare means between 2 independent groups","Numeric DV + 2 group IV","p-value + effect size","Groups are independent samples","Paired/matched samples","scipy.stats.ttest_ind()","general"
ttest_paired,Paired T-Test,inferential,comparison,"Compare means of related measurements","Numeric pairs (before/after)","p-value + effect size","Same subjects measured twice","Independent groups","scipy.stats.ttest_rel()","healthcare"
anova_oneway,One-Way ANOVA,inferential,comparison,"Compare means across 3+ groups","Numeric DV + 3+ group IV","F-statistic + p-value","Comparing multiple group means","Only 2 groups (use t-test)","scipy.stats.f_oneway()","general"
anova_twoway,Two-Way ANOVA,inferential,comparison,"Test main effects and interaction","Numeric DV + 2 categorical IVs","F-statistics + p-values","Testing factorial designs","Single factor design","statsmodels.formula.api.ols()","research"
