id,name,category,subcategory,use_case,prerequisites,output_type,when_to_use,avoid_when,python_function,domain
desc_univar,Univariate Descriptive,descriptive,summary,Summarize single variable distribution,Numeric or categorical variable,Table + Histogram/Bar,Starting exploratory analysis,Variable has no variation,df.describe() / value_counts(),general
desc_bivar,Bivariate Descriptive,descriptive,relationship,Explore relationship between 2 variables,2 variables of any type,Cross-tab / Scatter,Looking for patterns between variables,Variables are unrelated conceptually,pd.crosstab() / sns.scatterplot(),general
desc_multivar,Multivariate Summary,descriptive,summary,Comprehensive dataset overview,Multiple variables,Summary table + Correlation matrix,Initial data exploration,Single variable analysis needed,df.describe(include='all'),general
freq_table,Frequency Table,descriptive,categorical,Count occurrences of categories,Categorical variable,Table with counts and percentages,Analyzing categorical distributions,Continuous numeric data,value_counts(normalize=True),survey
cross_tab,Cross Tabulation,descriptive,categorical,Compare categories across groups,2+ categorical variables,Contingency table,Comparing distributions across segments,Continuous outcome variable,pd.crosstab(),survey
percentile,Percentile Analysis,descriptive,distribution,Identify value positions,Numeric variable,Percentile table,Understanding data spread,Non-numeric data,np.percentile(),general
weighted_freq,Weighted Frequency,descriptive,weighted,Population-adjusted frequencies,Variable + weight column,Weighted table,Survey data with weights,Unweighted analysis needed,"np.average(values, weights=w)",survey
weighted_mean,Weighted Mean,descriptive,weighted,Population-adjusted averages,Numeric + weight column,Weighted statistics,Representative estimates needed,Sample is self-weighting,"np.average(values, weights=w)",survey
top_box,Top Box Score,descriptive,likert,Calculate top 2 box percentage,Likert scale variable,Percentage + CI,Summarizing satisfaction/agreement,Need full distribution,(df[col] >= 4).mean(),survey
nps_calc,NPS Calculation,descriptive,metric,Calculate Net Promoter Score,0-10 recommendation scale,NPS score (-100 to 100),Measuring customer loyalty,Non-standard scales,(promoters - detractors) / total,marketing
ttest_ind,Independent T-Test,inferential,comparison,Compare means between 2 independent groups,Numeric DV + 2 group IV,p-value + effect size,Groups are independent samples,Paired/matched samples,scipy.stats.ttest_ind(),general
