id,chart_type,data_type,n_variables,comparison_type,best_for,avoid_when,matplotlib_func,plotly_type,example_use,domain
bar_simple,Bar Chart,categorical,1,none,Comparing category frequencies,>12 categories,plt.bar(),px.bar(),Brand preference distribution,survey
bar_grouped,Grouped Bar Chart,categorical,2,between_groups,Comparing categories across groups,>4 groups or >6 categories,Multi plt.bar(),px.bar(barmode='group'),Satisfaction by age group,survey
bar_stacked,Stacked Bar Chart,categorical,2,composition,Showing composition within categories,Emphasizing individual values,plt.bar(stacked),px.bar(barmode='stack'),Revenue breakdown by region,financial
bar_horizontal,Horizontal Bar Chart,categorical,1,ranking,Ranking or long labels,Time-based data,plt.barh(),px.bar(orientation='h'),Top 10 products,marketing
bar_diverging,Diverging Bar Chart,categorical,1,deviation,Showing deviation from baseline,No clear center point,custom matplotlib,custom plotly,Net sentiment by topic,survey
bar_lollipop,Lollipop Chart,categorical,1,ranking,Clean ranking visualization,Dense data,plt.stem(),custom plotly,Employee satisfaction scores,survey
bar_dumbbell,Dumbbell Chart,categorical,2,comparison,Before/after or paired comparison,>15 categories,custom matplotlib,custom plotly,Pre/post training scores,healthcare
line_simple,Line Chart,timeseries,1-3,trend,Showing trends over time,Non-sequential data,plt.plot(),px.line(),Monthly sales trend,financial
line_multi,Multi-Line Chart,timeseries,2-5,comparison,Comparing trends across series,>5 series (cluttered),plt.plot() multiple,px.line(color=),Revenue by product line,financial
line_step,Step Line Chart,timeseries,1,discrete_change,Discrete changes over time,Continuous smooth trends,plt.step(),px.line(line_shape='hv'),Price tier changes,financial
line_slope,Slope Chart,timeseries,2+,change,Emphasizing start-to-end change,Many time points,custom matplotlib,custom plotly,Ranking change 2023 vs 2024,marketing
area_simple,Area Chart,timeseries,1,volume,Emphasizing magnitude over time,Comparing multiple series,plt.fill_between(),px.area(),Cumulative downloads,marketing
area_stacked,Stacked Area Chart,timeseries,2-5,composition,Showing composition over time,Negative values present,plt.stackplot(),px.area(groupnorm='percent'),Market share evolution,marketing
area_stream,Stream Graph,timeseries,3-7,flow,Flowing composition over time,Precise values needed,custom,custom plotly,Topic popularity over time,research
